deployment,n_episodes,truth,pred_prior,abs_err_prior,abs_err_own_1,abs_err_own_2,abs_err_own_3,abs_err_own_5,abs_err_own_8,abs_err_own_12,abs_err_own_20,abs_err_own_35,abs_err_own_60
gawel__pyquery,128,0.78125,0.6083326375553143,0.1729173624446857,0.21875,0.21875,0.21875,0.018750000000000044,0.03125,0.11458333333333337,0.08125000000000004,0.12410714285714286,0.06458333333333333
graphql-python__graphene,146,0.4931506849315068,0.6099598930481284,0.11680920811662154,0.4931506849315068,0.006849315068493178,0.1598173515981735,0.2931506849315068,0.3681506849315068,0.24315068493150682,0.0931506849315068,0.06457925636007827,0.0931506849315068
arrow-py__arrow,126,0.5238095238095238,0.6092002003673401,0.08539067655781629,0.47619047619047616,0.023809523809523836,0.1428571428571428,0.12380952380952381,0.14880952380952384,0.023809523809523836,0.07619047619047614,0.10476190476190472,0.09285714285714286
pyutils__line_profiler,183,0.532608695652174,0.6094815682664546,0.07687287261428066,0.532608695652174,0.532608695652174,0.19927536231884063,0.06739130434782603,0.03260869565217395,0.03260869565217395,0.017391304347826098,0.018322981366459712,0.03260869565217395
jaraco__inflect,249,0.776,0.6072672345067763,0.1687327654932237,0.22399999999999998,0.22399999999999998,0.1093333333333334,0.02400000000000002,0.026000000000000023,0.026000000000000023,0.02400000000000002,0.0525714285714286,0.007333333333333303
conan-io__conan,1040,0.6826923076923077,0.6065879697942886,0.07610433789801907,0.3173076923076923,0.1826923076923077,0.01602564102564108,0.2826923076923077,0.1826923076923077,0.09935897435897434,0.1826923076923077,0.11126373626373631,0.14935897435897438
scanny__python-pptx,262,0.5190839694656488,0.6102015113350125,0.09111754186936372,0.5190839694656488,0.01908396946564883,0.1475826972010178,0.11908396946564881,0.01908396946564883,0.10241730279898215,0.01908396946564883,0.023773173391493985,0.035750636132315494
oauthlib__oauthlib,387,0.7319587628865979,0.6074277273686431,0.12453103551795475,0.2680412371134021,0.2680412371134021,0.2680412371134021,0.1319587628865979,0.2319587628865979,0.14862542955326452,0.031958762886597936,0.03946980854197357,0.04862542955326454
davidhalter__parso,213,0.7757009345794392,0.6076500900749927,0.16805084450444652,0.22429906542056077,0.22429906542056077,0.1090342679127726,0.17570093457943925,0.15070093457943923,0.19236760124610586,0.1257009345794392,0.032843791722296345,0.025700934579439227
agronholm__typeguard,175,0.7045454545454546,0.6083155561132723,0.09622989843218233,0.7045454545454546,0.20454545454545459,0.037878787878787956,0.09545454545454546,0.045454545454545414,0.045454545454545414,0.00454545454545463,0.018831168831168865,0.00454545454545463
python-openxml__python-docx,207,0.5673076923076923,0.6098429319371728,0.04253523962948047,0.4326923076923077,0.4326923076923077,0.4326923076923077,0.03269230769230769,0.06730769230769229,0.01602564102564108,0.017307692307692246,0.08159340659340658,0.11730769230769228
getnikola__nikola,203,0.5490196078431373,0.609112609405754,0.060093001562616655,0.4509803921568627,0.4509803921568627,0.4509803921568627,0.25098039215686274,0.0759803921568627,0.11764705882352933,0.15098039215686265,0.07955182072829126,0.0676470588235294
Cog-Creators__Red-DiscordBot,135,0.5294117647058824,0.6096379504739633,0.08022618576808094,0.5294117647058824,0.5294117647058824,0.5294117647058824,0.32941176470588235,0.02941176470588236,0.05392156862745101,0.07058823529411762,0.07226890756302523,0.02941176470588236
python-trio__trio,288,0.7083333333333334,0.6075481213751366,0.10078521195819679,0.29166666666666663,0.20833333333333337,0.04166666666666674,0.09166666666666667,0.04166666666666663,0.125,0.1416666666666666,0.14880952380952372,0.05833333333333335
chardet__chardet,151,0.3815789473684211,0.6100455476160629,0.22846660024764182,0.3815789473684211,0.11842105263157893,0.28508771929824556,0.41842105263157897,0.3684210526315789,0.28508771929824556,0.26842105263157895,0.2184210526315789,0.15175438596491225
cloudpipe__cloudpickle,142,0.4084507042253521,0.6101086048454469,0.2016579006200948,0.5915492957746479,0.09154929577464788,0.2582159624413145,0.19154929577464785,0.033450704225352124,0.008215962441314562,0.058450704225352146,0.020120724346076424,0.04154929577464789
dbader__schedule,142,0.49295774647887325,0.6094402673350042,0.11648252085613098,0.5070422535211268,0.007042253521126751,0.17370892018779338,0.09295774647887323,0.11795774647887325,0.07629107981220656,0.04295774647887324,0.07847082494969815,0.09037558685446012
kurtmckee__feedparser,235,0.8050847457627118,0.6075816664569967,0.1975030793057151,0.19491525423728817,0.19491525423728817,0.19491525423728817,0.19491525423728817,0.19491525423728817,0.1115819209039548,0.05508474576271183,0.033656174334140365,0.03841807909604511
un33k__python-slugify,149,0.7866666666666666,0.6077800526469728,0.17888661401969386,0.7866666666666666,0.2866666666666666,0.12,0.01333333333333342,0.08833333333333337,0.13,0.06333333333333335,0.12761904761904763,0.08000000000000007
python__mypy,206,0.4563106796116505,0.6107807002848048,0.1544700206731543,0.5436893203883495,0.043689320388349495,0.12297734627831719,0.05631067961165048,0.043689320388349495,0.03964401294498382,0.10631067961165053,0.11345353675450764,0.05631067961165048
HIPS__autograd,132,0.803030303030303,0.6075574112734864,0.1954728917568166,0.803030303030303,0.303030303030303,0.13636363636363635,0.003030303030302939,0.07196969696969702,0.11363636363636365,0.14696969696969697,0.16839826839826844,0.14696969696969697
